,movie_cnt,movie_title,age,reviews,sent_number
1107,292번,Arthur Christmas,7,We liked it so much its going into the xmas rotation,1
1108,292번,Arthur Christmas,7,It was really funny when it turned into a steam  train    It was weird when the old man was walking  it would take him an hour to get to the control room  it was only scary when they thought Santa was gonna be gone forever and they pressed a button and the santa made out of ice fell from the top of the control room   It was weird when Arthur Christmas took out the the Christmas game and everyone was arguing over the santa which was funny,4
1109,292번,Arthur Christmas,7,The elves are treated very poorly in this film  I dont know the elves name but her head was wrapped in gift wrap and GrandSanta only allowed he to breath once  They also threaten elves and treat them like objects  I couldnt get over the way they were treated  Also  I read a review that quoted a character saying If we taught women to read we can do this but I just wanted to point out that they actually said we used to think teaching women to read was impossible  I just wanted to state that  But the film is still a bit offensive in my opinion as they dont shine a lot of spot light of female characters or on characters of colour  If someone who believes in Santa watches this it might distort their image of Santa Claus  In this film Santa decides not to help get a kid their gift  a kid accidentally didnt receive their gift and Arthur had to do it instead  I know that the movie has a good meaning but it was too predictable and mediocre  I dont suggest that you watch this film,12
1110,292번,Arthur Christmas,7,This is a fine movie  My mum and dad explained it is just a film and that is not really how Santa delivers presents,2
1111,292번,Arthur Christmas,7,I dont really get some of the parents reviews because I get the mentions of sexism because the main characters are mainly white men and mrs claus doesnt get mentioned much but she was portrayed as more intelligent than Father Christmas but that was just me probably  Also there is Bryany Shelfly the elf and she seemed to be a strong and not too annoying character  Also some people said that it ruined Christmas for their kids but it made it a lot better for me because I was starting to question if father Christmas is real but this film makes it a lot more believable,3
1112,292번,Arthur Christmas,7,This movie is totally family fun and cool good movie in all,1
1113,292번,Arthur Christmas,7,I love love love Arthur Christmas It seems to appeal to everyone  adults and kids  My 18 year old cousin loved it just as much as I did THIS IS A MUST WATCH,5
1114,292번,Arthur Christmas,7,Just a beautiful story The Christmas aspect is amazing I just love this movie And for the last time this movie is DOES NOT feature anything inappropriate or rude,4
1115,292번,Arthur Christmas,7,There was a little action but I think 3 year olds would be ok   Had some funny scenes and good messages,1
2517,339번,Barbie and the Secret Door,7,I give this an extra star because the mermaid didnt know what a boy was  meaning everyone is gay ,1
