,title,link
0,Kids' Choice Awards: All-Time Stars,https://www.commonsensemedia.org/lists/kids-choice-awards-all-time-stars
1,2023 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2023-oscar-nominated-films
2,2023 NAACP Image Award-Nominated Films,https://www.commonsensemedia.org/lists/2023-naacp-image-award-nominated-films
3,50 Modern Movies All Kids Should Watch Before They're 12,https://www.commonsensemedia.org/lists/50-modern-movies-all-kids-should-watch-before-theyre-12
4,Powerful Stories About Martin Luther King Jr.,https://www.commonsensemedia.org/lists/powerful-stories-about-martin-luther-king-jr
5,Best Mystery Movies,https://www.commonsensemedia.org/lists/best-mystery-movies
6,Best U.K. Films of the Year: 2022,https://www.commonsensemedia.org/lists/best-uk-films-of-the-year-2022
7,Best Movies of the Year: 2022,https://www.commonsensemedia.org/lists/best-movies-of-the-year-2022
8,Movies & TV Shows That Celebrate Indigenous Peoples,https://www.commonsensemedia.org/lists/movies-tv-shows-that-celebrate-indigenous-peoples
9,5 Family Movies to Celebrate the Day of the Dead,https://www.commonsensemedia.org/lists/5-family-movies-to-celebrate-the-day-of-the-dead
10,Halloween Essentials by Guillermo Del Toro,https://www.commonsensemedia.org/lists/halloween-essentials-by-guillermo-del-toro
11,Movies That Represent and Celebrate Jewish Heritage,https://www.commonsensemedia.org/lists/movies-that-represent-and-celebrate-jewish-heritage
12,Best Latino Movies to Watch as a Family,https://www.commonsensemedia.org/lists/best-latino-movies-to-watch-as-a-family
13,Movies and TV Shows That Celebrate Black Music,https://www.commonsensemedia.org/lists/movies-and-tv-shows-that-celebrate-black-music
14,Queer AND: Movies and TV Shows That Explore Intersectionality and LGBTQ+ Identities,https://www.commonsensemedia.org/lists/queer-and-movies-and-tv-shows-that-explore-intersectionality-and-lgbtq-identities
15,Growing Up Queer: Thoughtful Movies and TV Shows About LGBTQ+ Youth,https://www.commonsensemedia.org/lists/growing-up-queer-thoughtful-movies-and-tv-shows-about-lgbtq-youth
16,LGBTQ+ History on the Screen: Impactful Queer Moments and Figures in Movies and TV,https://www.commonsensemedia.org/lists/lgbtq-history-on-the-screen-impactful-queer-moments-and-figures-in-movies-and-tv
17,Powerful Stories of Asian Immigrant Families,https://www.commonsensemedia.org/lists/powerful-stories-of-asian-immigrant-families
18,"Movies & TV That Highlight the Bravery and Resilience of Asian, Asian American, Native Hawaiian, and Pacific Islander Communities",https://www.commonsensemedia.org/lists/movies-tv-that-highlight-the-bravery-and-resilience-of-asian-asian-american-native-hawaiian-and-pacific-islander
19,"Movies & TV That Applaud Asian, Asian American, Native Hawaiian, and Pacific Islander Heroes & Competitors",https://www.commonsensemedia.org/lists/movies-tv-that-applaud-asian-asian-american-native-hawaiian-and-pacific-islander-heroes-competitors
20,,https://www.commonsensemedia.orgNone
21,"Movies & TV That Celebrate Asian, Asian American, Native Hawaiian, and Pacific Islander Heritage & Culture",https://www.commonsensemedia.org/lists/movies-tv-that-celebrate-asian-asian-american-native-hawaiian-and-pacific-islander-heritage-culture
22,Best Video Game Movies & TV Shows,https://www.commonsensemedia.org/lists/best-video-game-movies-tv-shows
23,Great Movies to Watch for Easter,https://www.commonsensemedia.org/lists/great-movies-to-watch-for-easter
24,2022 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2022-oscar-nominated-films
25,2022 NAACP Image Award-Nominated Films,https://www.commonsensemedia.org/lists/2022-naacp-image-award-nominated-films
26,"Black History on the Screen: Activism, Civics & Social Justice",https://www.commonsensemedia.org/lists/black-history-on-the-screen-activism-civics-social-justice
27,"Black History on the Screen: Dance, Games & Sports",https://www.commonsensemedia.org/lists/black-history-on-the-screen-dance-games-sports
28,"Black History on the Screen: Science, Technology, Engineering & Math",https://www.commonsensemedia.org/lists/black-history-on-the-screen-science-technology-engineering-math
29,"Black History on the Screen: Arts, Business & Culture",https://www.commonsensemedia.org/lists/black-history-on-the-screen-arts-business-culture
30,Documentaries About Black History,https://www.commonsensemedia.org/lists/documentaries-about-black-history
31,Best Movies of the Year: 2021,https://www.commonsensemedia.org/lists/best-movies-of-the-year-2021
32,Cozy Fall Movies for the Family,https://www.commonsensemedia.org/lists/cozy-fall-movies-for-the-family
33,Best Movies with Puerto Rican Characters and Leads,https://www.commonsensemedia.org/lists/best-movies-with-puerto-rican-characters-and-leads
34,Best Movies and TV Shows on Sensical,https://www.commonsensemedia.org/lists/best-movies-and-tv-shows-on-sensical
35,Fast and Furious Movies,https://www.commonsensemedia.org/lists/fast-and-furious-movies
36,Best Movies with Cuban and Cuban American Characters and Leads,https://www.commonsensemedia.org/lists/best-movies-with-cuban-and-cuban-american-characters-and-leads
37,2021 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2021-oscar-nominated-films
38,Best '00s Movies,https://www.commonsensemedia.org/lists/best-00s-movies
