,title,link
39,Best War Dramas,https://www.commonsensemedia.org/lists/best-war-dramas
40,Movies and TV Shows with Deaf and Hard of Hearing Characters,https://www.commonsensemedia.org/lists/movies-and-tv-shows-with-deaf-and-hard-of-hearing-characters
41,,https://www.commonsensemedia.orgNone
42,2021 NAACP Image Award-Nominated Films,https://www.commonsensemedia.org/lists/2021-naacp-image-award-nominated-films
43,Best Kids' Movies on Movies Anywhere,https://www.commonsensemedia.org/lists/best-kids-movies-on-movies-anywhere
44,Best Kids' TV Shows and Movies on Peacock,https://www.commonsensemedia.org/lists/best-kids-tv-shows-and-movies-on-peacock
45,Best Sports Documentaries,https://www.commonsensemedia.org/lists/best-sports-documentaries
46,Vampire Movies,https://www.commonsensemedia.org/lists/vampire-movies
47,Bollywood Movies,https://www.commonsensemedia.org/lists/bollywood-movies
48,Black Lives Matter Movies and TV Shows on Netflix,https://www.commonsensemedia.org/lists/black-lives-matter-movies-and-tv-shows-on-netflix
49,Feel-Good Family Movies,https://www.commonsensemedia.org/lists/feel-good-family-movies
50,Family Film Favourites for UK Audiences,https://www.commonsensemedia.org/lists/family-film-favourites-for-uk-audiences
51,New Kids' Movies,https://www.commonsensemedia.org/lists/new-kids-movies
52,Best Documentaries,https://www.commonsensemedia.org/lists/best-documentaries
53,2020 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2020-oscar-nominated-films
54,The Best Kids' Movies of the Decade (2010–2019),https://www.commonsensemedia.org/lists/the-best-kids-movies-of-the-decade-2010-2019
55,Apple TV+ Series and Movies,https://www.commonsensemedia.org/lists/apple-tv-series-and-movies
56,"Dora the Explorer Movies, Games, and More",https://www.commonsensemedia.org/lists/dora-the-explorer-movies-games-and-more
57,Best '90s Movies,https://www.commonsensemedia.org/lists/best-90s-movies
58,The Best of Sesame Street,https://www.commonsensemedia.org/lists/the-best-of-sesame-street
59,50 Movies to Help You Raise a Kind Kid,https://www.commonsensemedia.org/lists/50-movies-to-help-you-raise-a-kind-kid
60,2019 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2019-oscar-nominated-films
61,Best Movies of the Last 15 Years,https://www.commonsensemedia.org/lists/best-movies-of-the-last-15-years
62,,https://www.commonsensemedia.orgNone
63,Goofy Comedy Movies to Watch with Tweens and Teens,https://www.commonsensemedia.org/lists/goofy-comedy-movies-to-watch-with-tweens-and-teens
64,"Movies with Asian, Asian American, Native Hawaiian, and Pacific Islander Characters",https://www.commonsensemedia.org/lists/movies-with-asian-asian-american-native-hawaiian-and-pacific-islander-characters
65,Best Netflix Original Movies,https://www.commonsensemedia.org/lists/best-netflix-original-movies
66,Marvel Cinematic Universe (MCU) Movies and TV Shows in Order,https://www.commonsensemedia.org/lists/marvel-cinematic-universe-mcu-movies-and-tv-shows-in-order
67,Movies to Help Kids Deal with Grief,https://www.commonsensemedia.org/lists/movies-to-help-kids-deal-with-grief
68,Movies to Help Kids Understand Divorce,https://www.commonsensemedia.org/lists/movies-to-help-kids-understand-divorce
69,2018 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2018-oscar-nominated-films
70,School Movie Night Picks for K–5,https://www.commonsensemedia.org/lists/school-movie-night-picks-for-k-5
71,Best History Documentaries,https://www.commonsensemedia.org/lists/best-history-documentaries
72,Best Animal Documentaries,https://www.commonsensemedia.org/lists/best-animal-documentaries
73,Best Space Documentaries,https://www.commonsensemedia.org/lists/best-space-documentaries
74,Movies That Defy Gender Stereotypes,https://www.commonsensemedia.org/lists/movies-that-defy-gender-stereotypes
75,Movies with Incredible Role Models for Boys,https://www.commonsensemedia.org/lists/movies-with-incredible-role-models-for-boys
76,Movies and More to Celebrate Memorial Day,https://www.commonsensemedia.org/lists/movies-and-more-to-celebrate-memorial-day
77,Best Sleepover Movies,https://www.commonsensemedia.org/lists/best-sleepover-movies
78,Movies That Teach Kids About Climate Change,https://www.commonsensemedia.org/lists/movies-that-teach-kids-about-climate-change
79,Lego Age-by-Age Guide,https://www.commonsensemedia.org/lists/lego-age-by-age-guide
80,2017 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2017-oscar-nominated-films
81,"Pokémon Games, Movies, and More",https://www.commonsensemedia.org/lists/pokemon-games-movies-and-more
82,Movies That Inspire Gratitude,https://www.commonsensemedia.org/lists/movies-that-inspire-gratitude
83,,https://www.commonsensemedia.orgNone
84,Olympics Movies,https://www.commonsensemedia.org/lists/olympics-movies
85,Movies with Inspiring Black Girls and Women,https://www.commonsensemedia.org/lists/movies-with-inspiring-black-girls-and-women
86,Movies with Characters Who Have Learning and Attention Issues and Developmental Disabilities,https://www.commonsensemedia.org/lists/movies-with-characters-who-have-learning-and-attention-issues-and-developmental-disabilities
87,Movies with Characters Who Have Physical Disabilities,https://www.commonsensemedia.org/lists/movies-with-characters-who-have-physical-disabilities
88,Movies That Feature Characters Living with Mental Illness,https://www.commonsensemedia.org/lists/movies-that-feature-characters-living-with-mental-illness
89,Best Disney Channel Original Movies,https://www.commonsensemedia.org/lists/best-disney-channel-original-movies
90,Best Teen Movies,https://www.commonsensemedia.org/lists/best-teen-movies
91,Mother-Daughter Movie Night,https://www.commonsensemedia.org/lists/mother-daughter-movie-night
92,Faith-Based Movies,https://www.commonsensemedia.org/lists/faith-based-movies
93,2016 Oscar-Nominated Films,https://www.commonsensemedia.org/lists/2016-oscar-nominated-films
94,Movies That Promote Perseverance,https://www.commonsensemedia.org/lists/movies-that-promote-perseverance
95,Movies That Inspire Courage,https://www.commonsensemedia.org/lists/movies-that-inspire-courage
96,Movies That Promote Teamwork,https://www.commonsensemedia.org/lists/movies-that-promote-teamwork
97,Movies That Promote Self-Control,https://www.commonsensemedia.org/lists/movies-that-promote-self-control
98,Movies That Inspire Integrity,https://www.commonsensemedia.org/lists/movies-that-inspire-integrity
99,Movies That Promote Humility,https://www.commonsensemedia.org/lists/movies-that-promote-humility
100,Movies That Inspire Empathy,https://www.commonsensemedia.org/lists/movies-that-inspire-empathy
101,Movies That Inspire Curiosity,https://www.commonsensemedia.org/lists/movies-that-inspire-curiosity
102,Movies That Inspire Compassion,https://www.commonsensemedia.org/lists/movies-that-inspire-compassion
103,Movies That Promote Communication,https://www.commonsensemedia.org/lists/movies-that-promote-communication
104,,https://www.commonsensemedia.orgNone
105,Libros y películas que inspiran a niños a dar gracias,https://www.commonsensemedia.org/lists/libros-y-peliculas-que-inspiran-a-ninos-a-dar-gracias
106,Westerns for Kids and Teens,https://www.commonsensemedia.org/lists/westerns-for-kids-and-teens
107,Unconventional Holiday Movies,https://www.commonsensemedia.org/lists/unconventional-holiday-movies
108,Star Wars Movies,https://www.commonsensemedia.org/lists/star-wars-movies
109,James Bond Movies,https://www.commonsensemedia.org/lists/james-bond-movies
110,15 estupendas películas y programas de televisión hechos por y para latinos,https://www.commonsensemedia.org/lists/15-estupendas-peliculas-y-programas-de-television-hechos-por-y-para-latinos
111,Movies About Cooking and Food,https://www.commonsensemedia.org/lists/movies-about-cooking-and-food
112,Back-to-School Movies,https://www.commonsensemedia.org/lists/back-to-school-movies
113,Top Movies for Geeky Families,https://www.commonsensemedia.org/lists/top-movies-for-geeky-families
114,Movies with LGBTQ+ Characters,https://www.commonsensemedia.org/lists/movies-with-lgbtq-characters
115,Best High School Movies,https://www.commonsensemedia.org/lists/best-high-school-movies
116,Best Holiday Movies for Kids,https://www.commonsensemedia.org/lists/best-holiday-movies-for-kids
117,Scary (But Not TOO Scary!) Halloween Movies,https://www.commonsensemedia.org/lists/scary-but-not-too-scary-halloween-movies
118,Dragon Movies,https://www.commonsensemedia.org/lists/dragon-movies
119,50 Movies All Kids Should Watch Before They're 12,https://www.commonsensemedia.org/lists/50-movies-all-kids-should-watch-before-theyre-12
120,Best '80s Movies,https://www.commonsensemedia.org/lists/best-80s-movies
121,Movies with Inspiring Teachers,https://www.commonsensemedia.org/lists/movies-with-inspiring-teachers
122,Comic Book Movies,https://www.commonsensemedia.org/lists/comic-book-movies
123,Best Biblical Movies,https://www.commonsensemedia.org/lists/best-biblical-movies
124,Movie Dads,https://www.commonsensemedia.org/lists/movie-dads
125,,https://www.commonsensemedia.orgNone
126,Scary Movies for Kids,https://www.commonsensemedia.org/lists/scary-movies-for-kids
127,Environmental Movies,https://www.commonsensemedia.org/lists/environmental-movies
128,Great Movies with Black Characters,https://www.commonsensemedia.org/lists/great-movies-with-black-characters
129,Disney Pixar Movies,https://www.commonsensemedia.org/lists/disney-pixar-movies
130,Romance Movies,https://www.commonsensemedia.org/lists/romance-movies
131,Best Superhero Movies for Kids,https://www.commonsensemedia.org/lists/best-superhero-movies-for-kids
132,Best Father-Daughter Movies,https://www.commonsensemedia.org/lists/best-father-daughter-movies
133,Best Baseball Movies,https://www.commonsensemedia.org/lists/best-baseball-movies
134,Best Horror Movies,https://www.commonsensemedia.org/lists/best-horror-movies
135,Charlie Brown and the Peanuts Gang Specials,https://www.commonsensemedia.org/lists/charlie-brown-and-the-peanuts-gang-specials
136,Best Movies for Family Movie Night,https://www.commonsensemedia.org/lists/best-movies-for-family-movie-night
137,Movies Based on Books,https://www.commonsensemedia.org/lists/movies-based-on-books
138,Movies That Inspire Kids to Change the World,https://www.commonsensemedia.org/lists/movies-that-inspire-kids-to-change-the-world
139,Thriller Movies,https://www.commonsensemedia.org/lists/thriller-movies
140,Movie Moms,https://www.commonsensemedia.org/lists/movie-moms
141,Movies About Musicians,https://www.commonsensemedia.org/lists/movies-about-musicians
142,Movies with Strong Female Characters,https://www.commonsensemedia.org/lists/movies-with-strong-female-characters
143,Romantic Comedies,https://www.commonsensemedia.org/lists/romantic-comedies
144,Dance Movies,https://www.commonsensemedia.org/lists/dance-movies
145,Best Robot Movies,https://www.commonsensemedia.org/lists/best-robot-movies
146,,https://www.commonsensemedia.orgNone
147,Mermaid Movies,https://www.commonsensemedia.org/lists/mermaid-movies
148,Studio Ghibli Movies,https://www.commonsensemedia.org/lists/studio-ghibli-movies
149,First Movies for Kids,https://www.commonsensemedia.org/lists/first-movies-for-kids
150,Time Travel Movies,https://www.commonsensemedia.org/lists/time-travel-movies
151,"STEM: Apps, TV, and More for Science, Tech, Engineering, and Math",https://www.commonsensemedia.org/lists/stem-apps-tv-and-more-for-science-tech-engineering-and-math
152,Movie Monsters,https://www.commonsensemedia.org/lists/movie-monsters
153,Best Movies with Mexican and Mexican American Characters,https://www.commonsensemedia.org/lists/best-movies-with-mexican-and-mexican-american-characters
154,Basketball Movies,https://www.commonsensemedia.org/lists/basketball-movies
155,Best Football Movies,https://www.commonsensemedia.org/lists/best-football-movies
156,The Best Summer Camp Movies for Kids,https://www.commonsensemedia.org/lists/the-best-summer-camp-movies-for-kids
157,Horse Movies for Kids,https://www.commonsensemedia.org/lists/horse-movies-for-kids
158,Twilight Movies,https://www.commonsensemedia.org/lists/twilight-movies
159,Muppet Movies,https://www.commonsensemedia.org/lists/muppet-movies
160,Harry Potter Movies,https://www.commonsensemedia.org/lists/harry-potter-movies
161,Dinosaur Movies,https://www.commonsensemedia.org/lists/dinosaur-movies
162,Cult Classics,https://www.commonsensemedia.org/lists/cult-classics
163,Nonviolent Family Movies,https://www.commonsensemedia.org/lists/nonviolent-family-movies
164,New Year's Eve Movies,https://www.commonsensemedia.org/lists/new-years-eve-movies
165,Princess Movies,https://www.commonsensemedia.org/lists/princess-movies
166,Best Disney Movies,https://www.commonsensemedia.org/lists/best-disney-movies
167,,https://www.commonsensemedia.orgNone
168,Movies Based on TV Shows,https://www.commonsensemedia.org/lists/movies-based-on-tv-shows
169,Best Anime Movies,https://www.commonsensemedia.org/lists/best-anime-movies
170,Best Tween Movies,https://www.commonsensemedia.org/lists/best-tween-movies
171,Offbeat Animated Movies,https://www.commonsensemedia.org/lists/offbeat-animated-movies
172,Indie Films,https://www.commonsensemedia.org/lists/indie-films
173,Best Alien Movies,https://www.commonsensemedia.org/lists/best-alien-movies
174,Courtroom Dramas,https://www.commonsensemedia.org/lists/courtroom-dramas
175,Movie Battles,https://www.commonsensemedia.org/lists/movie-battles
176,Drama Movies That Tug at the Heartstrings,https://www.commonsensemedia.org/lists/drama-movies-that-tug-at-the-heartstrings
177,Movies for Girls Who Love Sports,https://www.commonsensemedia.org/lists/movies-for-girls-who-love-sports
178,Mockumentaries for Teens,https://www.commonsensemedia.org/lists/mockumentaries-for-teens
179,Star Trek Movies & More,https://www.commonsensemedia.org/lists/star-trek-movies-more
180,Best Car Movies for Kids and Teens,https://www.commonsensemedia.org/lists/best-car-movies-for-kids-and-teens
181,Sci-Fi Movies,https://www.commonsensemedia.org/lists/sci-fi-movies
182,Best Fantasy Movies,https://www.commonsensemedia.org/lists/best-fantasy-movies
183,Travel Movies,https://www.commonsensemedia.org/lists/travel-movies
184,Space Movies,https://www.commonsensemedia.org/lists/space-movies
185,Movies About Friends,https://www.commonsensemedia.org/lists/movies-about-friends
186,Coming-of-Age Movies,https://www.commonsensemedia.org/lists/coming-of-age-movies
187,Barbie Movies,https://www.commonsensemedia.org/lists/barbie-movies
188,,https://www.commonsensemedia.orgNone
189,Spy Movies for Kids,https://www.commonsensemedia.org/lists/spy-movies-for-kids
190,Martial Arts Movies for Kids,https://www.commonsensemedia.org/lists/martial-arts-movies-for-kids
191,Best Classic Comedy Films,https://www.commonsensemedia.org/lists/best-classic-comedy-films
192,Best Prom Movies for Teens,https://www.commonsensemedia.org/lists/best-prom-movies-for-teens
193,Best Irish Movies,https://www.commonsensemedia.org/lists/best-irish-movies
194,Best International Films for Kids,https://www.commonsensemedia.org/lists/best-international-films-for-kids
195,Best Epic Movies,https://www.commonsensemedia.org/lists/best-epic-movies
196,Dog Movies for Kids,https://www.commonsensemedia.org/lists/dog-movies-for-kids
197,Best Soccer Movies and TV Shows,https://www.commonsensemedia.org/lists/best-soccer-movies-and-tv-shows
198,Best Winter Break Movies for Kids,https://www.commonsensemedia.org/lists/best-winter-break-movies-for-kids
199,Best Action Movies for Kids,https://www.commonsensemedia.org/lists/best-action-movies-for-kids
200,Best Fairy Tale Movies,https://www.commonsensemedia.org/lists/best-fairy-tale-movies
201,Biopic Movies,https://www.commonsensemedia.org/lists/biopic-movies
202,Best Pirate Movies,https://www.commonsensemedia.org/lists/best-pirate-movies
203,Misfits in the Movies,https://www.commonsensemedia.org/lists/misfits-in-the-movies
204,Great Sports Movies,https://www.commonsensemedia.org/lists/great-sports-movies
205,Best Bear Movies for Kids,https://www.commonsensemedia.org/lists/best-bear-movies-for-kids
206,Best Family Comedy Movies,https://www.commonsensemedia.org/lists/best-family-comedy-movies
207,Excellent Adventure Movies for Family Fun,https://www.commonsensemedia.org/lists/excellent-adventure-movies-for-family-fun
208,Musicals for Kids,https://www.commonsensemedia.org/lists/musicals-for-kids
209,,https://www.commonsensemedia.orgNone
210,Best Animal Movies for Kids,https://www.commonsensemedia.org/lists/best-animal-movies-for-kids
211,Political Movies,https://www.commonsensemedia.org/lists/political-movies
212,Best Magical Movies,https://www.commonsensemedia.org/lists/best-magical-movies
